Run,Surface,Tile,Tile_38,Average_A,Stdv_A,Average_0,Stdv_0,Average_2,Stdv_2,Average_3,Stdv_3,Average_4,Stdv_4,Average_5,Stdv_5,Average_1,Stdv_1
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,17,17,60,43.0219582177391,0,0.0,92,2.0608041101101566,93,1.9187901995538696,92,2.0981817995362855,95,0.5764347737933645,93,2.1398306408376726
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,18,18,60,42.82003684673281,0,0.0,92,2.166587526253284,93,2.1829869671542776,92,2.3461538461538463,95,0.5787859790951253,93,2.38018800193476
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Top,19,19,60,43.0219582177391,0,0.0,92,2.4883817825541965,93,1.9924411342685577,92,2.228447067210919,95,0.5764347737933645,93,2.304644323867266
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,1,20,58,41.66533331199932,0,0.0,91,3.7584837733251453,94,1.4229164972072998,88,5.545401634682634,95,0.7829093401265576,93,2.096440251568134
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,2,21,56,40.89281382128433,0,0.0,89,4.711716709270889,94,1.4296488196754653,87,6.211389614791972,95,0.8045817191995335,93,1.8324913891634045
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,3,22,56,40.60377650744653,0,0.0,89,5.053893363975018,94,1.387777332977422,86,6.840101040812242,95,0.7227782021899161,93,1.8174583920570808
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,4,23,56,40.89281382128433,0,0.0,89,5.0701525803400305,93,1.6313122626329808,86,6.929911156649358,95,0.886496453446794,93,1.678558399055505
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,5,24,57,41.04469108991645,0,0.0,90,4.025978738281835,94,1.3917254983745138,88,5.774484787079538,95,0.8096296846995936,93,1.8444295700724047
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,6,25,58,41.82768886223043,0,0.0,91,3.8618104882183926,94,1.2840693202488678,88,5.205396607959267,95,0.7528428090618781,93,1.8754057631366166
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,7,26,58,41.82768886223043,0,0.0,90,3.787931163124621,94,1.4151831981142815,88,5.248978486136993,95,0.7782698365179526,93,1.6211902687584656
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,8,27,57,41.20140234938072,0,0.0,91,3.355890752614606,94,1.2516107591641332,88,5.372100841907317,95,0.7388832065610783,94,1.676104962812557
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,9,28,56,40.74582459862878,0,0.0,89,4.4354847961895985,94,1.5270761576361704,87,6.344755090605413,95,0.8731184905822635,93,1.752912528325812
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,10,29,58,41.52910625894406,0,0.0,90,3.7857577301275964,94,1.4553246447695185,88,5.364247191264966,95,0.7037376769592011,93,1.7831708321793662
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,11,30,57,41.36289265620683,0,0.0,90,4.074747419103724,93,1.6932043630611056,88,5.244467358066259,95,0.7694953753202182,93,1.8466593870100607
180411_M05953_0002_000000000-BMMDW_SubTile%PF.csv,Bottom,12,31,56,40.89281382128433,0,0.0,90,3.9817829343243734,94,1.5643490431068798,88,5.548201905004739,95,0.6592312078650923,93,1.9209337007244356
